HDR,ROLLING SYSTEM DEMAND
VD,20220303163500,38903
VD,20220303164000,39098
VD,20220303164500,39447
VD,20220303165000,39567
VD,20220303165500,39759
VD,20220303170000,39818
VD,20220303170500,40048
VD,20220303171000,40231
VD,20220303171500,40414
VD,20220303172000,40593
VD,20220303172500,40876
VD,20220303173000,40972
VD,20220303173500,41060
VD,20220303174000,41069
VD,20220303174500,41144
VD,20220303175000,41439
VD,20220303175500,41567
VD,20220303180000,41665
VD,20220303180500,41725
VD,20220303181000,41673
VD,20220303181500,41618
VD,20220303182000,41611
VD,20220303182500,41684
VD,20220303183000,41638
VD,20220303183500,41725
VD,20220303184000,41721
VD,20220303184500,41652
VD,20220303185000,41768
VD,20220303185500,41806
VD,20220303190000,41612
VD,20220303190500,41267
VD,20220303191000,41120
VD,20220303191500,40879
VD,20220303192000,40773
VD,20220303192500,40532
VD,20220303193000,40287
VD,20220303193500,40121
VD,20220303194000,40081
VD,20220303194500,39851
VD,20220303195000,39611
VD,20220303195500,39373
VD,20220303200000,39040
VD,20220303200500,38956
VD,20220303201000,38792
VD,20220303201500,38624
VD,20220303202000,38437
VD,20220303202500,38316
VD,20220303203000,38093
VD,20220303203500,37791
VD,20220303204000,37480
VD,20220303204500,37259
VD,20220303205000,37187
VD,20220303205500,37040
VD,20220303210000,36507
VD,20220303210500,36198
VD,20220303211000,35876
VD,20220303211500,35503
VD,20220303212000,35134
VD,20220303212500,34985
VD,20220303213000,34763
VD,20220303213500,34449
VD,20220303214000,34250
VD,20220303214500,33778
VD,20220303215000,33512
VD,20220303215500,33255
VD,20220303220000,33039
VD,20220303220500,32641
VD,20220303221000,32414
VD,20220303221500,32042
VD,20220303222000,31776
VD,20220303222500,31570
VD,20220303223000,31382
VD,20220303223500,31139
VD,20220303224000,30865
VD,20220303224500,30586
VD,20220303225000,30335
VD,20220303225500,30108
VD,20220303230000,29755
VD,20220303230500,29640
VD,20220303231000,29585
VD,20220303231500,29755
VD,20220303232000,29596
VD,20220303232500,29357
VD,20220303233000,29189
VD,20220303233500,29123
VD,20220303234000,29032
VD,20220303234500,28842
VD,20220303235000,28631
VD,20220303235500,28323
VD,20220304000000,28297
VD,20220304000500,28548
VD,20220304001000,28701
VD,20220304001500,28614
VD,20220304002000,28546
VD,20220304002500,28497
VD,20220304003000,28514
VD,20220304003500,28659
VD,20220304004000,28670
VD,20220304004500,28684
VD,20220304005000,28708
VD,20220304005500,28641
VD,20220304010000,28598
VD,20220304010500,28872
VD,20220304011000,28839
VD,20220304011500,28789
VD,20220304012000,28709
VD,20220304012500,28623
VD,20220304013000,28526
VD,20220304013500,28478
VD,20220304014000,28426
VD,20220304014500,28388
VD,20220304015000,28302
VD,20220304015500,28203
VD,20220304020000,28113
VD,20220304020500,27635
VD,20220304021000,27573
VD,20220304021500,27577
VD,20220304022000,27538
VD,20220304022500,27444
VD,20220304023000,27353
VD,20220304023500,27503
VD,20220304024000,27550
VD,20220304024500,27466
VD,20220304025000,27407
VD,20220304025500,27366
VD,20220304030000,27319
VD,20220304030500,27093
VD,20220304031000,26881
VD,20220304031500,26910
VD,20220304032000,26936
VD,20220304032500,26904
VD,20220304033000,26824
VD,20220304033500,26773
VD,20220304034000,26762
VD,20220304034500,26705
VD,20220304035000,26630
VD,20220304035500,26572
VD,20220304040000,26508
VD,20220304040500,26410
VD,20220304041000,26383
VD,20220304041500,26452
VD,20220304042000,26420
VD,20220304042500,26402
VD,20220304043000,26379
VD,20220304043500,26388
VD,20220304044000,26395
VD,20220304044500,26342
VD,20220304045000,26376
VD,20220304045500,26433
VD,20220304050000,26468
VD,20220304050500,26618
VD,20220304051000,26693
VD,20220304051500,26674
VD,20220304052000,26603
VD,20220304052500,26595
VD,20220304053000,26668
VD,20220304053500,26860
VD,20220304054000,27139
VD,20220304054500,27484
VD,20220304055000,27769
VD,20220304055500,27908
VD,20220304060000,28167
VD,20220304060500,28740
VD,20220304061000,29163
VD,20220304061500,29462
VD,20220304062000,29991
VD,20220304062500,30311
VD,20220304063000,30732
VD,20220304063500,31158
VD,20220304064000,31576
VD,20220304064500,31905
VD,20220304065000,32396
VD,20220304065500,32805
VD,20220304070000,32954
VD,20220304070500,33862
VD,20220304071000,34360
VD,20220304071500,34747
VD,20220304072000,35204
VD,20220304072500,35667
VD,20220304073000,35773
VD,20220304073500,35850
VD,20220304074000,35989
VD,20220304074500,36304
VD,20220304075000,36438
VD,20220304075500,36579
VD,20220304080000,36774
VD,20220304080500,37211
VD,20220304081000,37439
VD,20220304081500,37520
VD,20220304082000,37517
VD,20220304082500,37639
VD,20220304083000,37565
VD,20220304083500,37452
VD,20220304084000,37527
VD,20220304084500,37650
VD,20220304085000,37744
VD,20220304085500,37846
VD,20220304090000,37889
VD,20220304090500,38068
VD,20220304091000,38168
VD,20220304091500,38159
VD,20220304092000,38199
VD,20220304092500,38242
VD,20220304093000,38213
VD,20220304093500,38246
VD,20220304094000,38260
VD,20220304094500,38106
VD,20220304095000,38110
VD,20220304095500,38049
VD,20220304100000,38008
VD,20220304100500,38013
VD,20220304101000,38035
VD,20220304101500,38017
VD,20220304102000,37973
VD,20220304102500,37896
VD,20220304103000,37887
VD,20220304103500,37916
VD,20220304104000,37938
VD,20220304104500,37891
VD,20220304105000,37890
VD,20220304105500,37831
VD,20220304110000,37782
VD,20220304110500,37696
VD,20220304111000,37798
VD,20220304111500,37812
VD,20220304112000,37840
VD,20220304112500,37834
VD,20220304113000,37792
VD,20220304113500,37743
VD,20220304114000,37677
VD,20220304114500,37603
VD,20220304115000,37574
VD,20220304115500,37597
VD,20220304120000,37635
VD,20220304120500,37583
VD,20220304121000,37568
VD,20220304121500,37512
VD,20220304122000,37502
VD,20220304122500,37419
VD,20220304123000,37354
VD,20220304123500,37337
VD,20220304124000,37265
VD,20220304124500,37203
VD,20220304125000,37153
VD,20220304125500,37081
VD,20220304130000,36957
VD,20220304130500,36893
VD,20220304131000,36801
VD,20220304131500,36751
VD,20220304132000,36624
VD,20220304132500,36530
VD,20220304133000,36395
VD,20220304133500,36374
VD,20220304134000,36312
VD,20220304134500,36114
VD,20220304135000,36002
VD,20220304135500,36009
VD,20220304140000,35982
VD,20220304140500,36217
VD,20220304141000,36218
VD,20220304141500,36151
VD,20220304142000,36106
VD,20220304142500,35971
VD,20220304143000,35869
VD,20220304143500,35916
VD,20220304144000,35857
VD,20220304144500,35944
VD,20220304145000,36067
VD,20220304145500,36099
VD,20220304150000,36094
VD,20220304150500,36074
VD,20220304151000,36018
VD,20220304151500,35997
VD,20220304152000,35875
VD,20220304152500,35842
VD,20220304153000,35881
VD,20220304153500,35876
VD,20220304154000,35910
VD,20220304154500,36032
VD,20220304155000,36208
VD,20220304155500,36330
VD,20220304160000,36644
VD,20220304160500,36793
VD,20220304161000,36871
VD,20220304161500,36986
VD,20220304162000,37006
VD,20220304162500,37077
VD,20220304163000,37171
VD,20220304163500,37213
VD,20220304164000,37362
VD,20220304164500,37522
VD,20220304165000,37718
VD,20220304165500,37968
VD,20220304170000,38197
VD,20220304170500,38559
VD,20220304171000,38779
VD,20220304171500,38906
VD,20220304172000,39020
VD,20220304172500,39227
VD,20220304173000,39245
VD,20220304173500,39384
VD,20220304174000,39628
VD,20220304174500,39918
VD,20220304175000,40067
VD,20220304175500,40096
VD,20220304180000,40176
VD,20220304180500,40204
VD,20220304181000,40452
VD,20220304181500,40618
VD,20220304182000,40722
VD,20220304182500,40985
VD,20220304183000,40957
VD,20220304183500,40930
VD,20220304184000,40881
VD,20220304184500,40790
VD,20220304185000,40702
VD,20220304185500,40615
VD,20220304190000,40187
VD,20220304190500,39880
VD,20220304191000,39655
VD,20220304191500,39392
VD,20220304192000,39178
VD,20220304192500,38818
VD,20220304193000,38645
VD,20220304193500,38392
VD,20220304194000,38327
VD,20220304194500,38175
VD,20220304195000,37954
VD,20220304195500,37533
VD,20220304200000,37131
VD,20220304200500,37231
VD,20220304201000,37148
VD,20220304201500,36900
VD,20220304202000,36751
